director_name,duration,actor_1_name,imdb_score,plot_keywords,country_USA,gross,num_voted_users,emotion,cleaned_text
Sai Varadan,-0.7224100401851894,J.D. Williams,0.6736528723813021,place name in title,1.0,0.0,-0.6035042974053217,joy,feel like convinced indian guys go horseback riding dalton brothers cappadocia
Craig Gillespie,0.6667580620034091,Jon Hamm,0.4958757753657387,baseball|based on true story|india|sports agent|training,1.0,-0.1756226254432022,-0.3454512440849935,fear,love insular feel island living genuinely weird islanders seems prerequisite little kilter choose living somewhere one access boat course love surrounded ocean
James Mangold,0.6270675447980206,Hugh Jackman,-0.0374555156809508,bridge|brooklyn bridge|falling down an elevator shaft|time travel|time travel romance,1.0,-0.0200593079430111,-0.1377406706766796,joy,feeling wasnt thrilled
Jennifer Wynne Farmer,-0.0079807304881958,Irene Bedard,0.0514330328268305,cosmetics|female protagonist|native american|native american protagonist|sister sister relationship,1.0,-0.7079855231175896,-0.6034826323013573,joy,say since feeling good making time look fashionable cute lately
Dario Argento,0.5079959931818551,John Amos,-0.3041211612042964,black cat|cat|evil|photographer|undead,0.0,-0.7030310167710736,-0.5731587084524765,sad,feel deeply disturbed young canadian university students arrive university ready expound rape culture
Frank Capra,0.7461390964141862,Jean Arthur,1.384761260443555,eccentric|friend|house|monopoly|stenographer,1.0,0.0,-0.475687405716505,anger,feel rude think host felt like cook fang dangle vego meal really never case
George Lucas,1.1430442684680715,Natalie Portman,0.0514330328268305,alien|character says i have a bad feeling about this|hand to hand combat|seven word title|wilhelm scream,1.0,6.225111560274644,3.25691391760064,sad,like feeling punished vegan
Kunihiko Yuyama,-0.5636479713636353,Veronica Taylor,-0.7485639037432046,ash|father|mother|pokemon|professor,0.0,0.0,-0.5387545233569613,joy,bad feeling fans amused something
0,-1.873435039141457,David Ogden Stiers,0.9403185179046468,psychic|psychic power|psychometry|spin off|supernatural power,0.0,0.0,-0.5527935107259121,fear,feel like adding distressed leather leather straps designs
James Mangold,1.2224253028788483,Hugh Jackman,0.2292101298423939,healing power|marvel comics|mecha|regeneration|self healing,1.0,1.2284731793803716,1.7649754198954393,joy,managed reach final call clutching brie bacon wrap feeling rather pleased
Joe Chappelle,-0.5636479713636353,Donald Pleasence,-1.3707837432976755,halloween|michael myers|nudity|returning character with different actor|slasher flick,1.0,-0.4871294648570647,-0.4539067545309311,sad,feel disappointed people putting mildly however truth went south metaire louisiana thought would fun filled action packed star weekend everything healthy wealthy wise fun recovery
Bryan Singer,1.4605684061111797,Jennifer Lawrence,0.7625414208890835,mutant|superhero|superhero team|x men|year 1983,1.0,1.5562430021518716,0.4673223528419273,sad,feel remorseful trusting adults mexico
Michael Patrick King,1.539949440521957,Chris Noth,-1.9041150343443656,abu dhabi|box office hit|muslim|nanny|united arab emirates,1.0,0.6846474320309568,-0.1739502811025639,sad,didnt want stay feeling bad cause didnt study enough
Tim Burton,0.0317097867171926,Johnny Depp,0.0514330328268305,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,1.0,4.1744144712383076,1.6080406284784283,joy,feel like real eca production people admired loved working gone
Andy Fickman,-0.0873617648989729,Channing Tatum,-0.0374555156809508,disguise|roommate|school|soccer|twin,1.0,-0.2159519213913365,0.2389938221607973,anger,angry sad feel generally pissed
Tim Burton,0.0317097867171926,Johnny Depp,0.0514330328268305,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,1.0,4.1744144712383076,1.6079250812572847,suprise,still feel funny writing like maybe call spirit guide really observant cheerleader something
Michael Tollin,0.0714003039225811,Alfre Woodard,0.4069872268579574,coach|football|football coach|high school|radio,1.0,0.0556518490026654,-0.3704599957612674,joy,realized soon set foot first yoga studio would feel much comfortable students body type
Giuseppe Tornatore,0.9445916824411288,Jim Sturgess,1.2069841634279916,antique|art|heiress|older man younger woman relationship|plot twist,0.0,-0.7068908447300082,-0.1010472062622563,love,feel ease caring
Brandon Trost,-1.000243660622909,Clifton Collins Jr.,-0.7485639037432046,abbreviation in title|based on short film|competition dancing|dystopia|location in title,1.0,-0.7075464975471066,-0.5941955244019382,fear,feel weird like eyes opened
Mary Pat Kelly,-0.8017910745959664,Aidan Quinn,-0.5707868067276411,0,1.0,0.0,-0.6022404996740633,joy,know feel around women want children feel way around calm safe loved peace clean healthy strong beautiful glorious
Andy Tennant,0.4286149587710779,Will Smith,0.1403215813346118,advice|friendship|gossip|newspaper|quitting a job,1.0,1.8862909832366015,1.163934884012895,sad,feel unimportant like friends boyfriends know things like come go havent boyfriend since th grade
Brian Klugman,-0.2064333165151385,J.K. Simmons,0.5847643238735201,american in paris|book|love|novel|writer,1.0,-0.5410719576952314,-0.1735458658285612,fear,wan knew breaking jedi code emotions feelings padme tortured always gave desires though knew
Chuck Bowman,-0.7224100401851894,P.J. Soles,-1.637449388821021,bare breasts|genital dismemberment|mulching someone|tooth fairy|woodchipper,1.0,0.0,-0.5951054587684443,love,see waiting desires wrestling questions feelings purpose see god faithful made way happen
M. Night Shyamalan,-0.0079807304881958,Bruce Willis,1.4736498089513363,able to see the dead|ghost|plot twist|psychic|surprise ending,1.0,3.580014976861334,4.485383085994404,sad,hope well going quick one feel awful moment worst cant seem make anything good moment either
Marc Forster,-0.8017910745959664,Radha Mitchell,0.1403215813346118,group of friends|mental breakdown|mental instability|morgue|sudden infant death syndrome,1.0,0.0,-0.599886225043262,fear,suppose curse metropolitan city variety options make one feel restless
Matthew Bright,-0.2064333165151385,Bokeem Woodbine,0.4069872268579574,freeway|nightmare|police|school|trailer park,1.0,0.0,-0.4435724999398979,joy,feel something worthwhile life
Garry Marshall,0.7064485792087977,Bradley Cooper,-0.6596753552354224,flower|indian restaurant|tv station|valentine|valentine's day,1.0,0.9059622397968756,0.0849910414803059,anger,feel offended gross guess
Ben Stiller,-0.2064333165151385,Milla Jovovich,-1.4596722918054577,chosen one|fashion|fashion model|model|retired,1.0,-0.2868195081666321,-0.3517269025333568,fear,find equally ironic someone feeling intimidated words would proposing use words intimidate others
Joe Marino,-1.2383867638552404,Piero Maggiò,-3.4152203589766534,0,0.0,0.0,-0.6018288626987391,joy,feel virtuous able use things fridge basically cleaned week go grocery shopping
Mark Neveldine,-0.4445764197474697,Nicolas Cage,-1.9041150343443656,deal with the devil|devil|eastern europe|ghost rider|monk,1.0,0.0482958001723069,0.0294417149155068,joy,feel entertained educated
Jake Kasdan,0.5079959931818551,Tim Meadows,0.2292101298423939,drugs|elvis|musician|singer|the beatles,1.0,-0.4405195712821952,-0.2024832230237185,joy,feel largely determined think therefore choose thoughts engender good feelings knowing anytime allows feel free state self awareness wherein manager creator personal universe
James Wong,-0.2858143509259156,Ian Whyte,-3.3263318104688717,bad|dragon|grandfather|orb|warrior,1.0,-0.5714803335377765,-0.1965542062387861,joy,feel special gratitude alive celebrate events
