director_name,duration,actor_1_name,imdb_score,plot_keywords,country_USA,gross,num_voted_users,emotion,cleaned_text
Sai Varadan,0.16269841269841268,J.D. Williams,0.7088607594936708,place name in title,1.0,0.0637309136648861,5.622103507067766e-05,joy,feel like convinced indian guys go horseback riding dalton brothers cappadocia
Craig Gillespie,0.23214285714285712,Jon Hamm,0.6835443037974682,baseball|based on true story|india|sports agent|training,1.0,0.04792503923241143,0.021203023626446136,fear,love insular feel island living genuinely weird islanders seems prerequisite little kilter choose living somewhere one access boat course love surrounded ocean
James Mangold,0.23015873015873015,Hugh Jackman,0.6075949367088607,bridge|brooklyn bridge|falling down an elevator shaft|time travel|time travel romance,1.0,0.06192559443708471,0.038224385844371885,joy,feeling wasnt thrilled
Jennifer Wynne Farmer,0.1984126984126984,Irene Bedard,0.6202531645569619,cosmetics|female protagonist|native american|native american protagonist|sister sister relationship,1.0,1.286907828153272e-05,5.799643617817457e-05,joy,say since feeling good making time look fashionable cute lately
Dario Argento,0.2242063492063492,John Amos,0.5696202531645568,black cat|cat|evil|photographer|undead,0.0,0.00045877008329330005,0.0025429661863023006,sad,feel deeply disturbed young canadian university students arrive university ready expound rape culture
Frank Capra,0.2361111111111111,Jean Arthur,0.8101265822784809,eccentric|friend|house|monopoly|stenographer,1.0,0.0637309136648861,0.01053049576892326,anger,feel rude think host felt like cook fang dangle vego meal really never case
George Lucas,0.25595238095238093,Natalie Portman,0.6202531645569619,alien|character says i have a bad feeling about this|hand to hand combat|seven word title|wilhelm scream,1.0,0.6239852168991167,0.3164078427752123,sad,like feeling punished vegan
Kunihiko Yuyama,0.1706349206349206,Veronica Taylor,0.5063291139240504,ash|father|mother|pokemon|professor,0.0,0.0637309136648861,0.0053623031450047015,joy,bad feeling fans amused something
0,0.10515873015873015,David Ogden Stiers,0.7468354430379746,psychic|psychic power|psychometry|spin off|supernatural power,0.0,0.0637309136648861,0.0042118432273478,fear,feel like adding distressed leather leather straps designs
James Mangold,0.2599206349206349,Hugh Jackman,0.6455696202531644,healing power|marvel comics|mecha|regeneration|self healing,1.0,0.17429236762304215,0.19414721270903126,joy,managed reach final call clutching brie bacon wrap feeling rather pleased
Joe Chappelle,0.1706349206349206,Donald Pleasence,0.4177215189873417,halloween|michael myers|nudity|returning character with different actor|slasher flick,1.0,0.019889710776255835,0.012315365682325115,sad,feel disappointed people putting mildly however truth went south metaire louisiana thought would fun filled action packed star weekend everything healthy wealthy wise fun recovery
Bryan Singer,0.2718253968253968,Jennifer Lawrence,0.721518987341772,mutant|superhero|superhero team|x men|year 1983,1.0,0.2037913495930861,0.08780778797449812,sad,feel remorseful trusting adults mexico
Michael Patrick King,0.2757936507936508,Chris Noth,0.3417721518987341,abu dhabi|box office hit|muslim|nanny|united arab emirates,1.0,0.12534855156255714,0.035257098793378225,sad,didnt want stay feeling bad cause didnt study enough
Tim Burton,0.20039682539682538,Johnny Depp,0.6202531645569619,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,1.0,0.43942436885034225,0.18128679888670512,joy,feel like real eca production people admired loved working gone
Andy Fickman,0.19444444444444442,Channing Tatum,0.6075949367088607,disguise|roommate|school|soccer|twin,1.0,0.04429543976538562,0.06909683570260611,anger,angry sad feel generally pissed
Tim Burton,0.20039682539682538,Johnny Depp,0.6202531645569619,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,1.0,0.43942436885034225,0.1812773300807985,suprise,still feel funny writing like maybe call spirit guide really observant cheerleader something
Michael Tollin,0.20238095238095236,Alfre Woodard,0.670886075949367,coach|football|football coach|high school|radio,1.0,0.06873952878524056,0.019153618948027498,joy,realized soon set foot first yoga studio would feel much comfortable students body type
Giuseppe Tornatore,0.24603174603174602,Jim Sturgess,0.7848101265822783,antique|art|heiress|older man younger woman relationship|plot twist,0.0,0.0001113891242857934,0.04123132352009961,love,feel ease caring
Brandon Trost,0.1488095238095238,Clifton Collins Jr.,0.5063291139240504,abbreviation in title|based on short film|competition dancing|dystopia|location in title,1.0,5.238097501002181e-05,0.0008190517109244524,fear,feel weird like eyes opened
Mary Pat Kelly,0.15873015873015872,Aidan Quinn,0.531645569620253,0,1.0,0.0637309136648861,0.0001597860996745623,joy,know feel around women want children feel way around calm safe loved peace clean healthy strong beautiful glorious
Andy Tennant,0.22023809523809523,Will Smith,0.6329113924050631,advice|friendship|gossip|newspaper|quitting a job,1.0,0.23349536371172336,0.14489344338452997,sad,feel unimportant like friends boyfriends know things like come go havent boyfriend since th grade
Brian Klugman,0.1884920634920635,J.K. Simmons,0.6962025316455694,american in paris|book|love|novel|writer,1.0,0.015034936135328567,0.03529023961405147,fear,wan knew breaking jedi code emotions feelings padme tortured always gave desires though knew
Chuck Bowman,0.16269841269841268,P.J. Soles,0.37974683544303783,bare breasts|genital dismemberment|mulching someone|tooth fairy|woodchipper,1.0,0.0637309136648861,0.0007444848644096516,love,see waiting desires wrestling questions feelings purpose see god faithful made way happen
M. Night Shyamalan,0.1984126984126984,Bruce Willis,0.8227848101265821,able to see the dead|ghost|plot twist|psychic|surprise ending,1.0,0.3859289621671794,0.417077819973144,sad,hope well going quick one feel awful moment worst cant seem make anything good moment either
Marc Forster,0.15873015873015872,Radha Mitchell,0.6329113924050631,group of friends|mental breakdown|mental instability|morgue|sudden infant death syndrome,1.0,0.0637309136648861,0.00035271302002237714,fear,suppose curse metropolitan city variety options make one feel restless
Matthew Bright,0.1884920634920635,Bokeem Woodbine,0.670886075949367,freeway|nightmare|police|school|trailer park,1.0,0.0637309136648861,0.013162232010600329,joy,feel something worthwhile life
Garry Marshall,0.2341269841269841,Bradley Cooper,0.5189873417721518,flower|indian restaurant|tv station|valentine|valentine's day,1.0,0.14526668029322395,0.05647669283016098,anger,feel offended gross guess
Ben Stiller,0.1884920634920635,Milla Jovovich,0.4050632911392404,chosen one|fashion|fashion model|model|retired,1.0,0.037917422268630444,0.020688749105641686,fear,find equally ironic someone feeling intimidated words would proposing use words intimidate others
Joe Marino,0.1369047619047619,Piero Maggiò,0.1265822784810126,0,0.0,0.0637309136648861,0.00019351872071697584,joy,feel virtuous able use things fridge basically cleaned week go grocery shopping
Mark Neveldine,0.17658730158730157,Nicolas Cage,0.3417721518987341,deal with the devil|devil|eastern europe|ghost rider|monk,1.0,0.06807749116999377,0.05192456439054326,joy,feel entertained educated
Jake Kasdan,0.2242063492063492,Tim Meadows,0.6455696202531644,drugs|elvis|musician|singer|the beatles,1.0,0.024084558241360236,0.032918895534807036,joy,feel largely determined think therefore choose thoughts engender good feelings knowing anytime allows feel free state self awareness wherein manager creator personal universe
James Wong,0.1845238095238095,Ian Whyte,0.1392405063291139,bad|dragon|grandfather|orb|warrior,1.0,0.012298210334482342,0.033404763637891556,joy,feel special gratitude alive celebrate events
Rob Reiner,0.18055555555555555,Robin Wright,0.8227848101265821,fairy tale|giant|pirate|princess|true love,1.0,0.0405744707630018,0.17408281299285874,joy,think hope thats reviewing sort book read far books always intrigued enough make authors goal feel like vital rewarding part reading
Patrick Ryan Sims,0.1468253968253968,Claire Gordon-Harper,0.2531645569620252,android|artificial intelligence|home invasion|security system|tech noir,1.0,0.0637309136648861,5.681283543984561e-05,sad,finish reading book feel listless directionless find next book
Bradley Parker,0.15674603174603174,Jesse McCartney,0.4303797468354429,abandoned building|chernobyl disaster|exploration|tour guide|van,1.0,0.02381602356221331,0.031150596031741803,joy,feel glad
John Whitesell,0.2103174603174603,Brandon T. Jackson,0.3544303797468354,fbi agent|murder|performing arts school|scene during end credits|undercover,1.0,0.04984996642876015,0.01163834606000027,fear,feel like suspicious neer well lurking baggage claim
Matt Birch,0.19881165473349244,Rupert Grint,0.7468354430379746,0,0.0,0.0637309136648861,0.0002225169388060666,anger,feel resentful show resentment eating tempura sundaes
Boaz Yakin,0.17261904761904762,Jason Statham,0.6202531645569619,bodyguard|gang war|russian|russian mafia|triad,1.0,0.022510430784394214,0.04917387627466402,sad,feel bad youre
Peter Segal,0.20238095238095236,Larry Miller,0.3417721518987341,alter ego|marriage|professor|scientist|serum,1.0,0.1621385836655097,0.023308649339935456,joy,feel successful children made major jumps l areas curriculum
Martin Scorsese,0.26190476190476186,Richard E. Grant,0.7088607594936708,19th century|countess|lawyer|love|new york,1.0,0.042076348871315825,0.021459864986663777,anger,admit feel little envious hear young writers well
Shane Carruth,0.13888888888888887,Shane Carruth,0.6835443037974682,changing the future|independent film|invention|nonlinear timeline|time travel,1.0,0.0005575754659673388,0.042984828013935716,fear,going dentist
Maggie Carey,0.19246031746031744,Donald Glover,0.531645569620253,feces in a swimming pool|female vomiting|high school|lifeguard|male objectification,1.0,0.004532011530452192,0.01746521249479955,joy,forget good feels admired nice feel embraced many people come people often known entire life
F. Gary Gray,0.20634920634920634,Jason Statham,0.6835443037974682,gold|heist|revenge|traffic jam|venice italy,1.0,0.13954579314696164,0.16902883784018904,joy,might feeling trust god perfect plan
Jon M. Chu,0.21428571428571427,Usher Raymond,0.0,boyhood friend|manager|plasma tv|prodigy|star,1.0,0.09598912420742842,0.04399799024594631,joy,feel resolved waking issues also like make decision without flip flopping
