emotion,cleaned_text
joy,feel like convinced indian guys go horseback riding dalton brothers cappadocia
fear,love insular feel island living genuinely weird islanders seems prerequisite little kilter choose living somewhere one access boat course love surrounded ocean
joy,feeling wasnt thrilled
joy,say since feeling good making time look fashionable cute lately
sad,feel deeply disturbed young canadian university students arrive university ready expound rape culture
anger,feel rude think host felt like cook fang dangle vego meal really never case
sad,like feeling punished vegan
joy,bad feeling fans amused something
fear,feel like adding distressed leather leather straps designs
joy,managed reach final call clutching brie bacon wrap feeling rather pleased
sad,feel disappointed people putting mildly however truth went south metaire louisiana thought would fun filled action packed star weekend everything healthy wealthy wise fun recovery
sad,feel remorseful trusting adults mexico
sad,didnt want stay feeling bad cause didnt study enough
joy,feel like real eca production people admired loved working gone
anger,angry sad feel generally pissed
suprise,still feel funny writing like maybe call spirit guide really observant cheerleader something
joy,realized soon set foot first yoga studio would feel much comfortable students body type
love,feel ease caring
fear,feel weird like eyes opened
joy,know feel around women want children feel way around calm safe loved peace clean healthy strong beautiful glorious
sad,feel unimportant like friends boyfriends know things like come go havent boyfriend since th grade
fear,wan knew breaking jedi code emotions feelings padme tortured always gave desires though knew
love,see waiting desires wrestling questions feelings purpose see god faithful made way happen
sad,hope well going quick one feel awful moment worst cant seem make anything good moment either
fear,suppose curse metropolitan city variety options make one feel restless
joy,feel something worthwhile life
anger,feel offended gross guess
fear,find equally ironic someone feeling intimidated words would proposing use words intimidate others
joy,feel virtuous able use things fridge basically cleaned week go grocery shopping
joy,feel entertained educated
joy,feel largely determined think therefore choose thoughts engender good feelings knowing anytime allows feel free state self awareness wherein manager creator personal universe
joy,feel special gratitude alive celebrate events
joy,think hope thats reviewing sort book read far books always intrigued enough make authors goal feel like vital rewarding part reading
sad,finish reading book feel listless directionless find next book
joy,feel glad
fear,feel like suspicious neer well lurking baggage claim
anger,feel resentful show resentment eating tempura sundaes
sad,feel bad youre
joy,feel successful children made major jumps l areas curriculum
anger,admit feel little envious hear young writers well
fear,going dentist
joy,forget good feels admired nice feel embraced many people come people often known entire life
joy,might feeling trust god perfect plan
joy,feel resolved waking issues also like make decision without flip flopping
joy,think shed feel triumphant
fear,feel uncertain lot future holds confident sorted one important
anger,feel heartless heart hurts still feel feel much pain
sad,read article began feel hurt pain anger bitterness frustration
joy,feel proud glad opportunity something honour humanity
joy,hung feeling lump throat never pleasant feeling
sad,feeling rotten wanted someone make feel better knew noncommittal responses
fear,fathom fears heartaches tending sick child must feel helpless
sad,feel always real rejected denied placed second best
joy,feel resolved
sad,touchy person feeling needy eew actions directed people matter
fear,feel distressed china lost much cultural revolution
fear,conscious lack passion feelings loneliness doubtful overwhelmed
sad,feel regretful enough
joy,would feel way wonderful day drinking laughing friends someone consumed past body perfection restrictive eating weekends like true measure recovery
sad,dont know well ever resolve differences earth feel less burdened need
fear,feel uncomfortable telling story
fear,suddenly feel anxious depressed
sad,feel seriously doomed
joy,think much emotion feeling therefore convinced really experiencing emotion
joy,feel sweet sense optimism touched anxiety coming days
sad,feel isolated way lot jets working city closer center hand lot stores around
anger,clues know neighborhood police pulled boy feels dangerous
anger,im trying best stop strong feelings dangerous
joy,feel need say something way acknowledgement reality useful thoughts contribute public discussion simply pay respect dead dying
sad,feel unfortunate fate nin
sad,know must make feel unhappy
sad,feeling shitty today finally got
sad,feel children towns karnataka deprived good entertainment
joy,im going honest saying went appointment already discouraged defeated feeling hopeful
joy,ive pulau payar already langkawi kota kinabalu corrected secretly feeling smug
sad,love month may colors popping everywhere buds turning blossoms finally wearing sandals feel ludicrous
joy,feeling shes really keen
sad,feel ugly aged fat indulgent unappreciated seriously
sad,think im going bad touch ever loving crap dry hump starts feel dirty feels bad existing
sad,feel vinod blamed eventual downfall
sad,im feeling way part suffering dying
sad,feel pretty lame amp ms feeling quickly replaced euphoria get evil white stuff
fear,feel like soda shaken turbulently flew violently container moment felt air exchanging freedom
