director_name,duration,actor_1_name,imdb_score,plot_keywords,country_USA,gross,num_voted_users,emotion,cleaned_text
Joe Johnston,0.2559523809523809,J.K. Simmons,0.6455696202531644,arab|cowboy|horse|race|sheik,1.0,0.0884754194280079,0.0401542468482191,sad,think feelings go messy details think much hassle honestly
0,0.0753968253968253,James Nesbitt,0.721518987341772,adultery|baptist church|dentist|double murder|tv mini series,0.0,0.0637309136648861,0.0003834866392189,love,wonder cops ever feel horny feel boys frisking
Curtis Hanson,0.2043650793650793,Mekhi Phifer,0.6835443037974682,competition|contest|friend|self expression|white rapper,1.0,0.1534813507621249,0.1107708258988411,sad,end feeling deprived rebellious running fast back crap carbs
Daniel Espinosa,0.2321428571428571,Fabian Bolin,0.6455696202531644,double life|drugs|financial crisis|first part|serbian,0.0,0.0002474000418506,0.0079526133608402,sad,feel homesick best place
Sylvain Chomet,0.1448412698412698,Michel Robin,0.7848101265822783,belleville|dog|mafia|tour de france|very little dialogue,0.0,0.0092064257828552,0.0251260682736413,sad,hauled feel dumb got lock key paid man fee wait see frank black amp catholics devils workshop released simultaneously black letter days initially felt better two
Mark Herman,0.1785714285714285,Jim Broadbent,0.6835443037974682,mother|recluse|shy|singer|talent,0.0,0.006041088801287,0.0082183317265953,fear,remember feeling hesitant leaving daughter building housed ragamuffins waiting get shelter
Craig Moss,0.1488095238095238,Noureen DeWulf,0.1392405063291139,masturbation|porn actor in mainstream movie|sex|spoof|virginity,1.0,0.0637309136648861,0.0032986952577261,fear,mixed feeling strange feeling embarrassment
Anne Fletcher,0.1746031746031746,Miriam Margolyes,0.531645569620253,cross country|love|mother son relationship|on the road|trip,1.0,0.0487837474484031,0.0179842214185573,love,always misjudge peoples feelings another fight mom says compassionate enough towards family kian careless free spirited
Maryam Keshavarz,0.1984126984126984,Sarah Kazemy,0.5443037974683543,closeted lesbian|iranian|islamophobia|propaganda|teenager,0.0,0.0005775595521758,0.0037117719154033,sad,ive spent still cant make good conversation feel awkward around
0,0.1051587301587301,Don Johnson,0.7468354430379746,cult tv|detective|drugs|police|undercover,1.0,0.0637309136648861,0.0099209413886832,sad,feel stupid contagious entertain us nirvanas smells like teen spirit voted third place
Julie Taymor,0.25,Jim Sturgess,0.7341772151898733,anti war|liverpool|love|protest|song,1.0,0.032008925604533,0.054361598310765,suprise,remember feeling shocked people started ask food weight loss advice never million years expected pushing others run helping train
Yash Chopra,0.3353174603174603,Shah Rukh Khan,0.670886075949367,accident|army|bomb|indian army|love,0.0,0.0040063083019903,0.0250278294123599,love,often told alright tell kids tired worn need feel like every night needs devoted understand
Steven Soderbergh,0.1964285714285714,Matt Damon,0.6329113924050631,contagion|cure|infection|panic|virus,1.0,0.0994576097045268,0.1068045798246968,love,expressed feelings gentle pat back
William Brent Bell,0.1507936507936507,Fernanda Andrade,0.3291139240506328,critically bashed|demonic possession|exorcism|exorcist|found footage,1.0,0.0700118016035568,0.0180883782835303,sad,longer feel submissive sometimes even feel control
Larry Clark,0.2142857142857142,Kelli Garner,0.6835443037974682,cruelty|friend|male frontal nudity|male nudity|pubic hair,1.0,0.000669779837881,0.0174101750604672,sad,feel absolutely humiliated insulted way pulled together put straight face
Russell Mulcahy,0.1726190476190476,Milla Jovovich,0.5949367088607593,clone|convoy|crow|desert|satellite,0.0,0.0665977864822439,0.0885001944064212,sad,feel times doomed even take shot
Fred Zinnemann,0.1547619047619047,Gary Cooper,0.8227848101265821,appeasement|frontier justice|justice|one against many|street shootout,1.0,0.0637309136648861,0.0474552880026086,fear,fight vociferously right say want say first amendment right free speech stand idle feel people especially vulnerable populations treated way could detrimental effects lifetime said del
Darnell Martin,0.2023809523809523,Cedric the Entertainer,0.6835443037974682,1950s|jazz|jazz music|sex|title directed by female,1.0,0.0106948601948016,0.0091178682877262,joy,always left feeling achieved something worthwhile
James Mangold,0.238095238095238,Angelina Jolie Pitt,0.721518987341772,1960s|father daughter incest|mental hospital|suicide|suicide attempt,1.0,0.0379622280152783,0.0742212350992064,joy,feel privileged good job right school super excited get stay bellingham
Robert Stromberg,0.1785714285714285,Angelina Jolie Pitt,0.6835443037974682,curse|dark fantasy|fairy|king|kingdom,1.0,0.3174292963279777,0.1492828267226273,love,spit ground chase dogs tail feel far romantic nostalgic walking hansen next boy
Simon West,0.2162698412698412,Daniel von Bargen,0.5949367088607593,army cid|cover up|military|murder|woman in military,1.0,0.1350120656517442,0.0252698757633485,anger,ive feeling little rebellious though
Douglas Aarniokoski,0.1527777777777777,Boris Kodjoe,0.3797468354430378,carnage|female nudity|purple panties|sexual attraction|shaved labia,1.0,0.0637309136648861,0.0043088984878908,joy,grateful wonderful blessings experienced family outpouring love family friends neighbors closeness feel siblings sweet strength dads service mom given marriage
Steven Brill,0.1765873015873015,Steve Buscemi,0.531645569620253,abbreviation in title|reporter|small town|sudden wealth|unknowing heir,1.0,0.1659457572150539,0.0653507393657912,anger,became clear man used many people sexually psychologically
Michael Haneke,0.2718253968253968,Ulrich Tukur,0.7848101265822783,children|doctor|mysterious event|pastor|small village,0.0,0.0029216450015091,0.0313376049483979,anger,feel like matter necessities thoughts ideas selfish way lovely act kindness
Ralph Ziman,0.2222222222222222,Rapulana Seiphemo,0.7848101265822783,carjacking|drug lord|johannesburg south africa|police|post apartheid,0.0,5.571297096024219e-06,0.0057309947749945,joy,constant churning feeling stomach convinced cosmic forces get
Peter Billingsley,0.2103174603174603,Jon Favreau,0.4936708860759493,couple|island|marriage|tropical|voyeurism,1.0,0.1435565524380173,0.0494159226256525,anger,feeling really irritated
Anand Tucker,0.1686507936507936,Colin Firth,0.670886075949367,cancer|children|death|terminal cancer|time,0.0,0.0014076420571029,0.0021103601164426,anger,reported damaged ankle feeling pissed remember nothing like young dog train best bit training put feet weeks
George A. Romero,0.1765873015873015,Judith O'Dea,0.8101265822784809,cemetery|farmhouse|radiation|running out of gas|zombie,1.0,0.0637309136648861,0.0520624538765587,love,feel fish maw enough soup hot enough served
Ron Shelton,0.2162698412698412,Harrison Ford,0.4683544303797467,audition|kissing while having sex|machismo|murder|sex,1.0,0.0394640666761265,0.0185162499504367,anger,remember feeling envious children gentle patient fathers
Robert Redford,0.3234126984126984,Scarlett Johansson,0.6202531645569619,grace|groom|horse|montana|western u.s.,1.0,0.099105238641087,0.0191435583417516,anger,feel air fucked life laws broke loves sacrificed
Sanjay Rawal,0.1507936507936507,Alma Martinez,0.6962025316455694,two word title,1.0,0.0637309136648861,0.0001538680959829,sad,freaking fantastic time feeling constantly vaguely shitty taken picture
Richard Linklater,0.1845238095238095,Tommy Pallotta,0.6962025316455694,austin texas|moon|pap smear|texas|twenty something,1.0,0.0016131212769761,0.0089350019736542,sad,feel exhausted completing chores still got dust furniture crevices corners
Steve Boyum,0.1706349206349206,Paul Walker,0.291139240506329,accidental kiss|eating a worm|park|worm|yellowstone national park,1.0,0.0056649979766211,0.001337468834313,sad,felt lot better yesterday sudden caught cold feeling lousy
Ridley Scott,0.2956349206349206,Mark Addy,0.6455696202531644,1190s|archer|england|king of england|robin hood,1.0,0.1383541154461594,0.1253196461743952,joy,team built vibrant exciting diverse bbc amazing reach feel privileged asked follow footsteps said bickley statement
Lasse Hallström,0.2142857142857142,David Lyons,0.6455696202531644,abusive husband|chick flick|north carolina|secret|widower,1.0,0.0938142381436098,0.0461622041959829,sad,spent time feeling unloved unaccepted
Patrice Leconte,0.2083333333333333,Emir Kusturica,0.721518987341772,archipelago|guillotine|island|prison|redemption,0.0,0.0040205633012393,0.002818153357964,anger,feel violent something today
Tony Goldwyn,0.1984126984126984,Viggo Mortensen,0.6329113924050631,adulterous wife|cheating wife|summer|unfaithfulness|woodstock,1.0,0.0062343642901362,0.0040106311018316,joy,feeling really pleasant relaxed
Baz Luhrmann,0.238095238095238,Jim Broadbent,0.7594936708860758,death of main character|eiffel tower paris|jealousy|tragedy|two suitors,1.0,0.075457279692287,0.132568017095929,sad,feel incredibly worthless terrible thing gives pleasure mainlining cable tv
Paul Schrader,0.1825396825396825,Nolan Gerard Funk,0.291139240506329,cocaine|homosexual|penis|psychopath|pubic hair,1.0,6.41323750919659e-05,0.005033853940118,sad,happy made feel foolish waiting vain show
Cristian Mungiu,0.2103174603174603,Anamaria Marinca,0.7974683544303797,female rear nudity|friend|hotel|rainy night|towel,0.0,0.0015582564265319,0.0264878009230902,sad,feeling emotional low
Matthew Vaughn,0.1944444444444444,Tom Hardy,0.7341772151898733,cake|cocaine|drugs|pills|serbian,0.0,0.0030742383188091,0.0793397164921151,anger,sadist provoked sister presence tried force sister accompanying place
Joseph Kahn,0.1706349206349206,Josh Hutcherson,0.531645569620253,blood splatter|detention|high school|overalls|reference to c. thomas howell,1.0,0.0637309136648861,0.0074063816201008,sad,feeling discouraged gets credit finding bernadette
Paul McGuigan,0.2123015873015872,Jessica Paré,0.6835443037974682,flashback|flashback within a flashback|multiple perspectives|obsession|split screen,1.0,0.016870892202244,0.0266156298028298,sad,im feeling sentimental day ago
Jackie Earle Haley,0.1726190476190476,Rex Baker,0.531645569620253,african american gangster|falling to death|in over one's head|murder|surveillance,1.0,0.0637309136648861,0.0031069519381166,sad,feel ugly
John Frankenheimer,0.2281746031746031,Robert De Niro,0.721518987341772,case|ex kgb|ronin|russian|suitcase,0.0,0.0547121519336084,0.086057834282877,joy,feel somewhat confident
Kenneth Branagh,0.2539682539682539,Kim-Marie Woodhouse,0.6329113924050631,based on opera|evil|mozart|queen|walking wounded,0.0,0.0637309136648861,0.000545048140001,sad,feeling room college pretty messy first settle
Sai Varadan,0.1626984126984126,J.D. Williams,0.7088607594936708,place name in title,1.0,0.0637309136648861,5.622103507067766e-05,joy,feel like convinced indian guys go horseback riding dalton brothers cappadocia
Simon Curtis,0.1825396825396825,Eddie Redmayne,0.6835443037974682,actress|assistant director|blonde bombshell|movie star|wardrobe,0.0,0.0191934064623254,0.0424166996595372,joy,feeling hyper hopeful lots disappearing list today
Paul Verhoeven,0.242063492063492,Jake Busey,0.7088607594936708,alien|federation|future|military|planet,1.0,0.0719250168472894,0.1310932505759697,joy,feel tranquil streets tehran
